,City,Price range,Average price
0,Ahmedabad,"611 - 1,71,969 / sqft","37,742.18 / sqft"
1,Bangalore,"656 - 1,40,148 / sqft","82,905.38 / sqft"
2,Chennai,"667 - 88,226 / sqft","46,37.19 / sqft"
3,Delhi,"741 - 1,37,631 / sqft","56,927.32 / sqft"
4,Ghaziabad,"634 - 83,397 / sqft","26,73.3 / sqft"
5,Gurgaon,"640 - 94,231 / sqft","42,449.13 / sqft"
6,Hyderabad,"641 - 75,002 / sqft","52,897.72 / sqft"
7,Indore,"619 - 31,699 / sqft","11,513.38 / sqft"
8,Kolkata,"646 - 1,00,034 / sqft","62,48.83 / sqft"
9,Mumbai,"625 - 2,00,000 / sqft","1,55,65.23 / sqft"
10,Noida,"355 - 73,879 / sqft","35,674.06 / sqft"
11,Pune,"706 - 57,478 / sqft","44,711.5 / sqft"
12,Jalandhar,"706 - 6,303 / sqft","4,266.82 / sqft"
13,Lucknow,"999 - 18,511 / sqft","10,196.64 / sqft"
14,Chandigarh,"1,197 - 33,899 / sqft","14,955.05 / sqft"
15,Nagpur,"662 - 24,501 / sqft","19,368.06 / sqft"
16,Coimbatore,"811 - 12,797 / sqft","8,682.13 / sqft"
17,Goa,"2,566 - 20,833 / sqft","15,461.67 / sqft"
18,Jaipur,"667 - 11,111 / sqft","9,584.33 / sqft"
19,Trivandrum,"4,029 - 10,000 / sqft","6,830.47 / sqft"
20,Kochi,"2,703 - 62,500 / sqft","28,560.44 / sqft"
21,Bhubaneswar,"609 - 12,007 / sqft","9,416.23 / sqft"
22,Puri,"2,462 - 5,935 / sqft","5,249.32 / sqft"
23,Bhopal,"1,100 - 11,875 / sqft","9,343.87 / sqft"
24,Nashik,"1,204 - 11,628 / sqft","8,138.08 / sqft"
25,Mysore,"3,721 - 9,201 / sqft","6,569.39 / sqft"
26,Dehradun,"1,115 - 11,538 / sqft","8,346.23 / sqft"
27,Vadodara,"833 - 17,500 / sqft","8,803.34 / sqft"
28,Mangalore,"914 - 10,345 / sqft","7,767.55 / sqft"
29,Surat,"782 - 41,995 / sqft","20,913.5 / sqft"
30,Visakhapatnam,"803 - 58,000 / sqft","25,94.14 / sqft"
31,Anand,"1,646 - 6,100 / sqft","4,891.98 / sqft"
32,Madurai,"1,850 - 11,176 / sqft","6,906.76 / sqft"
33,Patna,"1,307 - 74,212 / sqft","19,44.27 / sqft"
34,Trichy,"1,846 - 8,261 / sqft","6,215.19 / sqft"
35,Agra,"722 - 7,813 / sqft","5,603.73 / sqft"
36,Pondicherry,"2,469 - 13,579 / sqft","12,577.39 / sqft"
37,Shimla,"3,000 - 75,000 / sqft","17,415.71 / sqft"
38,Kozhikode,"3,493 - 7,000 / sqft","6,153.95 / sqft"
39,Kanpur,"2,333 - 8,500 / sqft","7,25.85 / sqft"
40,Meerut,"1,533 - 10,001 / sqft","6,812 / sqft"
41,Ranchi,"2,381 - 10,455 / sqft","7,976.83 / sqft"
42,Vellore,-,-
43,Allahabad,"667 - 23,638 / sqft","10,293.24 / sqft"
44,Gwalior,"1,116 - 11,000 / sqft","5,509.16 / sqft"
45,Haridwar,"1,285 - 5,326 / sqft","4,196.97 / sqft"
46,Kannur,"5,000 / sqft","5,000 / sqft"
47,Varanasi,"1,918 - 9,225 / sqft","6,450.02 / sqft"
48,Vijayawada,"2,167 - 9,292 / sqft","6,681.55 / sqft"
49,Aurangabad,"2,167 - 9,166 / sqft","6,17.82 / sqft"
50,Guwahati,"600 - 7,500 / sqft","6,328.62 / sqft"
51,Jabalpur,"1,667 - 5,000 / sqft","4,256.41 / sqft"
52,Jodhpur,"2,162 - 8,666 / sqft","5,200.25 / sqft"
53,Kolhapur,"1,562 - 8,748 / sqft","6,149.56 / sqft"
54,Nainital,"3,415 - 10,825 / sqft","9,164.54 / sqft"
55,Amritsar,"2,242 - 26,928 / sqft","5,220.91 / sqft"
56,Jamshedpur,"2,035 - 6,087 / sqft","5,657.85 / sqft"
57,Kottayam,"3,483 / sqft","3,482.59 / sqft"
58,Ambala,-,-
59,Mathura,"1,000 - 9,198 / sqft","6,763.53 / sqft"
60,Alwar,"2,000 - 3,478 / sqft","2,700.4 / sqft"
61,Jhansi,"3,059 / sqft","3,58.82 / sqft"
62,Faridabad,"648 - 9,091 / sqft","7,839.88 / sqft"
63,Anantapuram,"2,894 - 5,072 / sqft","5,71.85 / sqft"
64,Sonepat,"1,529 - 3,881 / sqft","3,569.58 / sqft"
65,Karnal,"1,818 - 3,889 / sqft","2,906.54 / sqft"
66,Siliguri,"1,974 - 5,885 / sqft","5,375.8 / sqft"
67,Ooty,-,-
68,Aligarh,"2,013 - 3,649 / sqft","3,376.45 / sqft"
69,Thiruvannamalai,-,-
70,Durgapur,"1,407 - 23,000 / sqft","14,882.42 / sqft"
71,Panipat,"3,752 - 7,200 / sqft","5,183.99 / sqft"
72,Raigad,"2,396 - 21,176 / sqft","16,197.01 / sqft"
73,Wayanad,"5,417 / sqft","5,416.67 / sqft"
74,Tirunelveli,"1,917 - 4,796 / sqft","4,747.89 / sqft"
75,Ludhiana,"1,842 - 30,667 / sqft","7,704.3 / sqft"
76,Ernakulam,"2,429 - 9,831 / sqft","6,535.33 / sqft"
77,Arambagh,-,-
78,Salem,"5,102 / sqft","5,102.04 / sqft"
79,Dindigul,-,-
80,Warangal,"2,900 - 5,000 / sqft","4,414.62 / sqft"
81,Gulbarga,"2,388 - 4,469 / sqft","4,469.27 / sqft"
82,Tirupati,"1,947 - 5,502 / sqft","5,463.71 / sqft"
83,Mehsana,"1,337 - 3,158 / sqft","2,950.32 / sqft"
84,Thrissur,"3,103 - 7,761 / sqft","6,544.96 / sqft"
85,Satara,"1,629 - 6,250 / sqft","5,361.53 / sqft"
86,Solapur,"1,998 - 4,625 / sqft","3,922.33 / sqft"
87,Guntur,"2,100 - 6,667 / sqft","5,815.34 / sqft"
88,Solan,"2,900 - 68,175 / sqft","36,595.8 / sqft"
89,Jhajjar,"2,914 - 4,000 / sqft","3,936.79 / sqft"
90,Bulandshahr,-,-
91,Ganjam,-,-
92,Bareilly,"2,875 - 4,606 / sqft","4,108.42 / sqft"
93,Moradabad,"2,095 - 3,118 / sqft","3,118.28 / sqft"
94,Almora,-,-
95,Ratnagiri,"2,167 - 5,781 / sqft","4,640.01 / sqft"
96,Mandya,"4,846 / sqft","4,845.81 / sqft"
97,Hubli Dharwad,"3,000 - 4,964 / sqft","4,488.08 / sqft"
98,Krishna,"4,123 / sqft","4,122.81 / sqft"
99,Valsad,"1,161 - 8,582 / sqft","5,643.37 / sqft"
100,Patiala,-,-
101,Rohtak,"3,926 - 5,118 / sqft","4,522.3 / sqft"
102,Bhavnagar,"1,604 - 3,976 / sqft","2,892.37 / sqft"
103,Rayagada,-,-
104,Bharuch,"1,551 - 4,270 / sqft","3,807.88 / sqft"
105,Dausa,-,-
106,Rishikesh,"650 - 24,000 / sqft","19,927.84 / sqft"
107,Burdwan,"2,600 - 2,947 / sqft","2,773.68 / sqft"
108,Udham Singh Nagar,"2,505 - 3,265 / sqft","2,885.28 / sqft"
109,Shahjahanpur,-,-
110,Muzaffarnagar,-,-
111,Hisar,"2,278 - 51,220 / sqft","34,157.44 / sqft"
112,Sirsa,-,-
113,Chikkamagaluru,"1,667 / sqft","1,666.67 / sqft"
114,Udupi,-,-
115,Fatehabad,-,-
116,Sangli,"2,000 - 5,628 / sqft","5,172.64 / sqft"
117,Raigarh,"4,425 / sqft","4,424.78 / sqft"
118,Parbhani,-,-
119,Osmanabad,"2,941 / sqft","2,941.18 / sqft"
120,Nandurbar,-,-
121,Nanded,"2,300 / sqft","2,300 / sqft"
122,Kurnool,"1,846 - 5,500 / sqft","5,146.22 / sqft"
123,Nellore,"3,000 - 4,599 / sqft","4,293.02 / sqft"
124,Nizamabad,-,-
125,Rajahmundry,"1,959 - 5,806 / sqft","4,680.4 / sqft"
126,Bhagalpur,"4,223 / sqft","4,223 / sqft"
127,Raipur,"699 - 61,894 / sqft","33,749.94 / sqft"
128,Gandhinagar,"1,764 - 15,468 / sqft","9,519.95 / sqft"
129,Jamnagar,"2,300 - 5,906 / sqft","3,729.67 / sqft"
130,Porbandar,"1,882 / sqft","1,882.35 / sqft"
131,Rajkot,"2,400 - 12,037 / sqft","9,860.09 / sqft"
132,Kurukshetra,-,-
133,Panchkula,"1,403 - 12,190 / sqft","6,117.81 / sqft"
134,Dharamsala,-,-
135,Manali,-,-
136,Jammu,-,-
137,Srinagar,"1,200 / sqft","1,200 / sqft"
138,Bokaro,"1,000 - 4,182 / sqft","3,650.74 / sqft"
139,Dhanbad,"1,559 - 3,077 / sqft","2,683.28 / sqft"
140,Bellary,-,-
141,Bidar,-,-
142,Dharwad,"2,459 / sqft","2,459.02 / sqft"
143,Hubli,"3,053 - 3,478 / sqft","3,265.45 / sqft"
144,Alappuzha,-,-
145,Kollam,-,-
146,Palakkad,"3,808 - 4,285 / sqft","4,285 / sqft"
147,Ujjain,"3,333 - 4,630 / sqft","3,981.62 / sqft"
148,Imphal,-,-
149,Shillong,-,-
150,Cuttack,"4,438 - 5,820 / sqft","5,422.89 / sqft"
151,Rourkela,-,-
152,Mohali,"773 - 87,500 / sqft","29,56.92 / sqft"
153,Pathankot,-,-
154,Ajmer,"2,297 - 90,909 / sqft","35,372.03 / sqft"
155,Bhilwara,-,-
156,Kota,"1,250 - 18,700 / sqft","7,375.13 / sqft"
157,Udaipur,"600 - 5,133 / sqft","4,156.2 / sqft"
158,Gangtok,-,-
159,Erode,"1,125 - 13,448 / sqft","5,996.26 / sqft"
160,Hosur,"4,000 / sqft","4,000 / sqft"
161,Agartala,"3,800 / sqft","3,800 / sqft"
162,Faizabad,-,-
163,Gorakhpur,"1,182 - 8,590 / sqft","6,795.81 / sqft"
164,Roorkee,"2,424 - 3,182 / sqft","3,83.91 / sqft"
165,Rudrapur,"1,257 - 2,941 / sqft","2,941.18 / sqft"
166,Dadra and Nagar Haveli,"2,134 - 3,750 / sqft","3,81.18 / sqft"
167,Daman and Diu,"2,031 - 3,322 / sqft","2,676.75 / sqft"
168,Latur,-,-
169,Jalna,-,-
170,Jalgaon,"3,417 - 9,091 / sqft","5,704.53 / sqft"
171,Hingoli,-,-
172,Gadchiroli,-,-
173,Dhule,"4,444 / sqft","4,444.44 / sqft"
174,Chandrapur,"600 - 3,125 / sqft","2,577.66 / sqft"
175,Bhandara,"2,750 - 3,750 / sqft","3,250 / sqft"
176,Amravati,"2,095 - 6,732 / sqft","4,525.15 / sqft"
177,Akola,"1,818 - 3,667 / sqft","3,50.51 / sqft"
178,Ahmednagar,"2,391 - 7,559 / sqft","5,923.56 / sqft"
179,Sindhudurg,"2,125 - 7,273 / sqft","4,77.54 / sqft"
180,Wardha,"900 - 3,663 / sqft","2,377.29 / sqft"
181,Washim,-,-
182,Yavatmal,-,-
183,Kodaikanal,-,-
184,Shirdi,"2,095 - 3,226 / sqft","3,225.81 / sqft"
185,Zirakpur,"1,352 - 48,258 / sqft","37,422.48 / sqft"
186,Baddi,-,-
187,Neemrana,"1,351 - 3,565 / sqft","3,293.15 / sqft"
188,Rewari,"3,152 - 8,889 / sqft","7,232.32 / sqft"
189,Palwal,"2,875 - 8,333 / sqft","5,472.67 / sqft"
190,Karur,-,-
191,Baramati,"1,739 - 3,387 / sqft","2,562.91 / sqft"
192,Alibaugh,"4,783 - 13,750 / sqft","10,914.02 / sqft"
193,Saharanpur,-,-
194,Hardoi,-,-
195,Firozabad,-,-
196,Rampur,-,-
197,Etawah,-,-
198,Hapur,-,-
199,Gonda,-,-
200,Basti,-,-
201,Mirzapur,-,-
202,Azamgarh,-,-
203,Barabanki,"1,922 - 4,898 / sqft","4,155.99 / sqft"
204,Bahadurgarh,"2,517 - 7,975 / sqft","4,329.43 / sqft"
205,Nalgonda,"4,463 - 5,801 / sqft","5,619.89 / sqft"
206,Hassan,-,-
207,Kakinada,"2,545 - 7,752 / sqft","5,985.98 / sqft"
208,Shimoga,-,-
209,Proddatur,-,-
210,Kodagu,-,-
211,Muzaffarpur,"3,500 / sqft","3,500 / sqft"
212,Arrah,-,-
213,Begusarai,-,-
214,Durg,"1,294 - 4,531 / sqft","2,872.74 / sqft"
215,Nokha,-,-
216,Kangra,-,-
217,Neemuch,-,-
218,Bolpur,"1,833 - 4,692 / sqft","3,77.07 / sqft"
219,Dibrugarh,-,-
220,Cuddalore,-,-
221,Kullu,"7,574 / sqft","7,574.01 / sqft"
222,East Godavari,"4,174 - 4,545 / sqft","4,359.68 / sqft"
223,Tiruppur,"3,245 - 8,612 / sqft","5,928.57 / sqft"
224,Chamarajanagar,-,-
225,Koraput,-,-
226,Tuticorin,"3,300 - 4,157 / sqft","4,143.44 / sqft"
227,Pudukkottai,-,-
228,Villupuram,-,-
229,Dharmapuri,-,-
230,Perambalur,-,-
231,Chitradurga,-,-
232,Tumakuru,-,-
233,Greater Noida,"615 - 55,294 / sqft","14,140.73 / sqft"
234,Balasore,"2,333 - 5,583 / sqft","5,181.86 / sqft"
235,Bhadrak,-,-
236,Sehore,-,-
237,Asansol,"1,950 - 4,000 / sqft","3,451.19 / sqft"
238,Nadia,"2,143 / sqft","2,142.86 / sqft"
239,Pathanamthitta,-,-
240,Kheda,"1,900 - 2,969 / sqft","2,550.77 / sqft"
241,Belagavi,"3,194 - 17,143 / sqft","10,876.61 / sqft"
242,Bikaner,"2,060 - 3,587 / sqft","3,46.96 / sqft"
243,Bathinda,-,-
244,Eluru,"3,043 - 4,390 / sqft","3,997.53 / sqft"
245,Athens,-,-
246,Chittoor,"3,750 / sqft","3,750 / sqft"
247,Jajpur,"2,409 / sqft","2,409.09 / sqft"
248,Vijayapura,-,-
249,Rajsamand,-,-
250,Shivamogga,-,-
251,Kutch,-,-
252,Kanyakumari,-,-
253,Prakasham,-,-
254,Kadapa,-,-
255,Srikakulam,-,-
256,Jharsuguda,-,-
257,Sikar,"2,296 - 3,000 / sqft","2,863.07 / sqft"
258,Gaya,"3,271 - 4,000 / sqft","3,756.9 / sqft"
259,Bilaspur,"741 - 5,413 / sqft","4,70.75 / sqft"
260,Darbhanga,-,-
261,Darjeeling,-,-
262,Navsari,"1,158 - 3,290 / sqft","2,825.9 / sqft"
263,Ratlam,-,-
264,Junagadh,"2,206 - 2,800 / sqft","2,800 / sqft"
265,Hathras,"2,326 / sqft","2,325.58 / sqft"
266,Deoghar,"3,505 - 6,503 / sqft","5,97.6 / sqft"
267,Jhunjhunu,-,-
268,Sambalpur,"2,833 - 4,063 / sqft","3,447.92 / sqft"
269,Barnala,-,-
270,Bankura,"3,485 / sqft","3,484.6 / sqft"
271,Madhubani,-,-
272,Theni,-,-
273,Hazaribagh,"2,367 - 3,333 / sqft","2,733.33 / sqft"
274,Pali,-,-
275,Banswara,-,-
276,Barmer,-,-
277,Purulia,-,-
278,Mewat,-,-
279,West Godavari,"3,415 - 3,738 / sqft","3,576.25 / sqft"
280,Thanjavur,-,-
281,Dera Bassi,"1,649 - 4,433 / sqft","4,146.34 / sqft"
282,Sri Ganganagar,-,-
283,Hoshangabad,-,-
284,Beed,"4,000 / sqft","4,000 / sqft"
285,Haldwani,-,-
286,Bhiwadi,"1,000 - 5,685 / sqft","4,464.59 / sqft"
287,Aruppukkottai,-,-
288,Bagpat,-,-
289,Balotra,-,-
290,Berhampur,"3,636 / sqft","3,636.36 / sqft"
291,Cuttak,-,-
292,Gadag,-,-
293,Gadarwara,-,-
294,Guruvayoor,"3,346 / sqft","3,346.46 / sqft"
295,Hissar,-,-
296,Jalpaiguri,"3,333 / sqft","3,333.33 / sqft"
297,Karwar,"4,000 / sqft","4,000 / sqft"
298,Khambhat,-,-
299,Kulu Manali,-,-
300,Kumhari,-,-
301,Mahesana,"750 - 2,129 / sqft","1,843.6 / sqft"
302,Mussoorie,-,-
303,Patan,-,-
304,Prakasam,"2,000 - 4,583 / sqft","3,458.33 / sqft"
305,Tiruvannamalai,"4,167 - 8,007 / sqft","7,838.09 / sqft"
306,Tumkur,-,-
307,Bagru,-,-
308,Buldana,-,-
309,Chhindwara,-,-
310,Adilabad,-,-
311,Amroha,-,-
312,Unnao,-,-
313,Bahraich,-,-
314,Bhatinda,-,-
315,Bharatpur,-,-
316,Bhiwani,-,-
317,Burhanpur,-,-
318,Saran,-,-
319,Davanagere,-,-
320,Dewas,-,-
321,Fatehpur,-,-
322,Guna,-,-
323,Jaunpur,-,-
324,Karimnagar,-,-
325,Kasaragod,-,-
326,Khammam,-,-
327,Khandwa,-,-
328,Malappuram,-,-
329,Morbi,"2,396 - 3,333 / sqft","2,987.65 / sqft"
330,Katni,"35,000 / sqft","35,000 / sqft"
331,Purnia,"5,000 / sqft","5,000 / sqft"
332,Raichur,-,-
333,Rewa,-,-
334,Sagar,-,-
335,Satna,-,-
336,Shivpuri,-,-
337,Suryapet,-,-
338,Thoothukudi,"1,000 / sqft","1,000 / sqft"
339,Vizianagaram,"1,634 - 4,451 / sqft","3,659 / sqft"
340,Yamunanagar,-,-
341,Dharuhera,"1,111 - 5,400 / sqft","3,99.27 / sqft"
342,Jind,-,-
343,Kaithal,"2,778 / sqft","2,777.78 / sqft"
344,Mithapur,-,-
345,Rupnagar,-,-
346,Sitapur,-,-
347,Kushinagar,-,-
348,Bijapur,"4,895 / sqft","4,895.1 / sqft"
349,Gondia,-,-
350,Krishnagiri,-,-
351,Namakkal,-,-
352,Sivaganga,"3,835 / sqft","3,834.95 / sqft"
353,Nilgiris,-,-
354,Thiruvananthapuram,"4,642 - 7,059 / sqft","5,900.27 / sqft"
355,Jangaon,-,-
356,Sangareddy,"4,308 / sqft","4,307.69 / sqft"
357,Sirohi,"2,541 - 3,314 / sqft","2,927.94 / sqft"
358,Aravalli,-,-
359,Dungarpur,-,-
360,Nagaur,"3,789 - 3,945 / sqft","3,867.21 / sqft"
361,Tonk,-,-
362,Jalore,-,-
363,Hanumangarh,-,-
364,Himatnagar,"1,729 - 3,438 / sqft","2,868.11 / sqft"
365,Gudivada,-,-
366,Dhar,-,-
367,Jagdalpur,-,-
368,Rajnandgaon,-,-
369,Chhota Udepur,-,-
370,Raisen,-,-
371,Morinda,-,-
372,Gondal,-,-
373,Mandsaur,-,-
374,Betul,-,-
375,Boranada,-,-
376,Surendranagar,-,-
377,Vidisha,-,-
378,Banaskantha,-,-
379,Amreli,-,-
380,Peddapalli,-,-
381,Chapra,-,-
382,Yadgir,-,-
383,Daman,"2,621 - 12,552 / sqft","12,552.3 / sqft"
384,Karaikudi,-,-
385,Ramgarh,-,-
386,Rajgarh,-,-
387,Chhatarpur,-,-
388,Purba Medinipur,"2,163 / sqft","2,162.52 / sqft"
389,Saharsa,-,-
390,Vaishali,-,-
391,Chandauli,-,-
392,Bardhaman,"6,190 / sqft","6,190.48 / sqft"
393,Darrang,-,-
394,Gurdaspur,-,-
395,Alipurduar,-,-
396,West Medinipur,"3,300 / sqft","3,300 / sqft"
397,Damoh,-,-
398,Faridkot,-,-
399,Sangrur,-,-
400,Kapurthala,-,-
401,Bagalkot,-,-
402,Barwani,-,-
403,Khargone,-,-
404,Vyara,"2,002 / sqft","2,2.36 / sqft"
405,Chittaranjan,-,-
406,Mancherial,-,-
407,Jagtial,-,-
408,Jorhat,-,-
409,Narsinghpur,-,-
410,Nagarkurnool,-,-
411,Harda,-,-
412,Agar,-,-
413,Seoni,-,-
414,Dahod,-,-
415,Shajapur,-,-
416,Shahdol,-,-
417,Hoshiarpur,-,-
418,Wanaparthy,-,-
419,Jhalawar,-,-
420,Sawai Madhopur,-,-
421,Tikamgarh,-,-
422,Alirajpur,-,-
423,Balaghat,-,-
424,Ramanagara,-,-
425,Panchmahal,-,-
426,Mandla,-,-
427,Tenkasi,-,-
428,Chittorgarh,-,-
429,Jhabua,-,-
430,Virudhunagar,-,-
431,Mandi,-,-
432,Koppal,-,-
433,North Tripura,-,-
434,Uttara Kannada,-,-
435,Gir Somnath,-,-
436,Thiruvarur,-,-
437,Jogulamba Gadwal,-,-
438,Bhadradri Kothagudem,-,-
439,Muktsar,-,-
440,Mansa,-,-
441,Rajanna Sircilla,-,-
442,Sabarkantha,-,-
443,Tirupathur,-,-
444,Tiruchirapalli,-,-
445,Nagapattinam,-,-
446,Umaria,-,-
447,Lalitpur,-,-
448,Mayiladuthurai,-,-
449,Ariyalur,-,-
450,Kallakurichi,-,-
451,Ramanathapuram,-,-
452,Ahmedabad,"1,111 - 1,00,000 / sqft","67,324.58 / sqft"
453,Bangalore,"600 - 57,933 / sqft","31,970.91 / sqft"
454,Chennai,"700 - 62,875 / sqft","41,623.16 / sqft"
455,Delhi,"2,667 - 1,98,076 / sqft","1,85,187.46 / sqft"
456,Ghaziabad,"1,273 - 20,007 / sqft","11,329.63 / sqft"
457,Gurgaon,"3,414 - 1,64,001 / sqft","61,228.89 / sqft"
458,Hyderabad,"654 - 1,18,492 / sqft","70,951.88 / sqft"
459,Indore,"2,100 - 18,018 / sqft","11,312.85 / sqft"
460,Kolkata,"600 - 25,000 / sqft","11,181.46 / sqft"
461,Mumbai,"1,000 - 1,89,898 / sqft","77,65.48 / sqft"
462,Noida,"819 - 37,500 / sqft","19,804.7 / sqft"
463,Pune,"643 - 40,000 / sqft","25,234.77 / sqft"
464,Jalandhar,"2,833 - 10,714 / sqft","7,85.88 / sqft"
465,Lucknow,"600 - 36,800 / sqft","23,35.64 / sqft"
466,Chandigarh,"1,555 - 25,556 / sqft","9,89.57 / sqft"
467,Nagpur,"625 - 10,417 / sqft","6,142.72 / sqft"
468,Coimbatore,"720 - 10,357 / sqft","7,752.13 / sqft"
469,Goa,"2,169 - 22,811 / sqft","19,381.29 / sqft"
470,Jaipur,"1,389 - 38,182 / sqft","16,962.13 / sqft"
471,Trivandrum,"3,023 - 7,632 / sqft","6,260.75 / sqft"
472,Kochi,"2,500 - 8,652 / sqft","7,550.19 / sqft"
473,Bhubaneswar,"757 - 40,000 / sqft","23,633.32 / sqft"
474,Puri,-,-
475,Bhopal,"1,316 - 20,000 / sqft","13,27.01 / sqft"
476,Nashik,"2,000 - 12,500 / sqft","5,990.72 / sqft"
477,Mysore,"4,800 - 5,303 / sqft","5,51.52 / sqft"
478,Dehradun,"928 - 30,000 / sqft","8,496.09 / sqft"
479,Vadodara,"1,897 - 27,500 / sqft","15,55.19 / sqft"
480,Mangalore,"1,362 - 7,927 / sqft","6,406.1 / sqft"
481,Surat,"1,333 - 22,453 / sqft","6,477.42 / sqft"
482,Visakhapatnam,"729 - 8,500 / sqft","5,253.72 / sqft"
483,Anand,"2,890 - 5,217 / sqft","4,61.79 / sqft"
484,Madurai,"1,000 - 8,750 / sqft","8,494.69 / sqft"
485,Patna,"4,500 - 15,000 / sqft","8,286.29 / sqft"
486,Trichy,"2,500 - 6,444 / sqft","5,362.61 / sqft"
487,Agra,"1,389 - 9,722 / sqft","5,36.28 / sqft"
488,Pondicherry,"3,542 - 4,321 / sqft","4,52.51 / sqft"
489,Shimla,"2,083 - 13,889 / sqft","11,261.54 / sqft"
490,Kozhikode,"3,750 - 6,500 / sqft","6,236.78 / sqft"
491,Kanpur,"2,222 - 13,830 / sqft","9,98.99 / sqft"
492,Meerut,"3,800 - 8,333 / sqft","6,508.48 / sqft"
493,Ranchi,"5,814 / sqft","5,813.95 / sqft"
494,Vellore,"2,562 - 3,888 / sqft","3,888 / sqft"
495,Allahabad,"4,136 - 18,000 / sqft","7,806.73 / sqft"
496,Gwalior,"3,200 - 12,000 / sqft","7,347.31 / sqft"
497,Haridwar,"900 - 7,579 / sqft","6,161.11 / sqft"
498,Kannur,"2,727 - 5,634 / sqft","4,632.67 / sqft"
499,Varanasi,"2,705 - 17,333 / sqft","7,406.79 / sqft"
500,Vijayawada,"3,542 - 10,928 / sqft","6,727.13 / sqft"
501,Aurangabad,"3,150 - 15,231 / sqft","7,701.61 / sqft"
502,Guwahati,"4,516 - 6,500 / sqft","5,536.44 / sqft"
503,Jabalpur,"1,714 - 8,824 / sqft","5,63.73 / sqft"
504,Jodhpur,"2,759 - 16,990 / sqft","5,950 / sqft"
505,Kolhapur,"4,166 - 8,771 / sqft","6,288.75 / sqft"
506,Nainital,"1,287 - 9,130 / sqft","7,95.77 / sqft"
507,Amritsar,-,-
508,Jamshedpur,"3,927 / sqft","3,927.34 / sqft"
509,Kottayam,-,-
510,Ambala,"19,384 / sqft","19,384 / sqft"
511,Mathura,"889 - 1,17,647 / sqft","13,590.86 / sqft"
512,Alwar,"2,631 / sqft","2,631 / sqft"
513,Jhansi,"2,370 - 2,500 / sqft","2,467.59 / sqft"
514,Faridabad,"1,420 - 34,815 / sqft","20,998 / sqft"
515,Anantapuram,"1,103 - 1,400 / sqft","1,251.9 / sqft"
516,Sonepat,"3,222 - 10,667 / sqft","6,655.07 / sqft"
517,Karnal,"2,666 - 3,333 / sqft","2,908.67 / sqft"
518,Siliguri,"12,222 / sqft","12,222.22 / sqft"
519,Ooty,"2,803 - 22,176 / sqft","13,652.85 / sqft"
520,Aligarh,"1,355 - 7,750 / sqft","5,234.64 / sqft"
521,Thiruvannamalai,-,-
522,Durgapur,"1,768 - 3,440 / sqft","3,63.33 / sqft"
523,Panipat,"6,834 - 8,520 / sqft","8,520.18 / sqft"
524,Raigad,"1,689 - 16,333 / sqft","6,175.6 / sqft"
525,Wayanad,"3,438 / sqft","3,437.5 / sqft"
526,Tirunelveli,"2,292 - 4,138 / sqft","3,130.85 / sqft"
527,Ludhiana,"2,000 - 5,758 / sqft","4,341.45 / sqft"
528,Ernakulam,"2,737 - 12,500 / sqft","6,250.8 / sqft"
529,Arambagh,-,-
530,Salem,"2,000 - 5,833 / sqft","5,508.62 / sqft"
531,Dindigul,"2,405 / sqft","2,405.35 / sqft"
532,Warangal,-,-
533,Gulbarga,"3,958 / sqft","3,958 / sqft"
534,Tirupati,"1,815 - 7,604 / sqft","6,40.43 / sqft"
535,Mehsana,"2,998 - 10,833 / sqft","4,565.25 / sqft"
536,Thrissur,"1,881 - 28,333 / sqft","20,340.68 / sqft"
537,Satara,"7,000 - 10,294 / sqft","10,294.12 / sqft"
538,Solapur,"3,000 - 4,182 / sqft","3,545.45 / sqft"
539,Guntur,"1,455 - 9,259 / sqft","5,348.16 / sqft"
540,Solan,"1,053 - 31,944 / sqft","22,432.6 / sqft"
541,Jhajjar,-,-
542,Bulandshahr,-,-
543,Ganjam,-,-
544,Bareilly,"1,250 - 5,737 / sqft","4,528.2 / sqft"
545,Moradabad,"4,129 - 11,111 / sqft","7,313.13 / sqft"
546,Almora,"4,167 / sqft","4,166.67 / sqft"
547,Ratnagiri,"3,636 - 6,667 / sqft","5,307.08 / sqft"
548,Mandya,-,-
549,Hubli Dharwad,-,-
550,Krishna,-,-
551,Valsad,"2,000 - 3,478 / sqft","3,51.21 / sqft"
552,Patiala,-,-
553,Rohtak,-,-
554,Bhavnagar,"2,583 - 5,588 / sqft","5,588.24 / sqft"
555,Rayagada,-,-
556,Bharuch,-,-
557,Dausa,-,-
558,Rishikesh,"3,000 - 14,815 / sqft","9,926.81 / sqft"
559,Burdwan,-,-
560,Udham Singh Nagar,"1,667 - 2,922 / sqft","2,210.85 / sqft"
561,Shahjahanpur,-,-
562,Muzaffarnagar,"10,417 / sqft","10,416.67 / sqft"
563,Hisar,-,-
564,Sirsa,-,-
565,Chikkamagaluru,-,-
566,Udupi,"1,600 - 6,503 / sqft","4,51.61 / sqft"
567,Fatehabad,-,-
568,Sangli,"1,756 / sqft","1,756 / sqft"
569,Raigarh,-,-
570,Parbhani,-,-
571,Osmanabad,-,-
572,Nandurbar,-,-
573,Nanded,-,-
574,Kurnool,"3,444 - 59,167 / sqft","24,165.16 / sqft"
575,Nellore,"3,038 - 5,903 / sqft","4,470.62 / sqft"
576,Nizamabad,-,-
