,City,Price range,Average price
1183,West Godavari,"918 - 5,909 / sqft","4,556.62 / sqft"
1184,Thanjavur,"100 - 13,500 / sqft","13,473.59 / sqft"
1185,Dera Bassi,"111 - 15,938 / sqft","14,960.57 / sqft"
1186,Sri Ganganagar,"2,505 / sqft","2,505.39 / sqft"
1187,Hoshangabad,"567 - 1,400 / sqft","1,400 / sqft"
1188,Beed,-,-
1189,Haldwani,"650 - 2,700 / sqft","2,571.64 / sqft"
1190,Bhiwadi,"1,222 - 4,500 / sqft","3,700 / sqft"
1191,Aruppukkottai,-,-
1192,Bagpat,-,-
1193,Balotra,-,-
1194,Berhampur,"2,167 / sqft","2,166.67 / sqft"
1195,Cuttak,-,-
1196,Gadag,-,-
1197,Gadarwara,-,-
1198,Guruvayoor,-,-
1199,Hissar,-,-
1200,Jalpaiguri,-,-
1201,Karwar,382 / sqft,382 / sqft
1202,Khambhat,-,-
1203,Kulu Manali,"9,857 / sqft","9,857.14 / sqft"
1204,Kumhari,756 - 950 / sqft,932.33 / sqft
1205,Mahesana,"1,070 - 1,852 / sqft","1,697.51 / sqft"
1206,Mussoorie,178 - 430 / sqft,303.69 / sqft
1207,Patan,"749 - 1,000 / sqft","1,000 / sqft"
1208,Prakasam,"101 - 6,683 / sqft","6,526.2 / sqft"
1209,Tiruvannamalai,"250 - 7,984 / sqft","7,144.45 / sqft"
1210,Tumkur,"244 - 3,500 / sqft","3,500 / sqft"
1211,Bagru,-,-
1212,Buldana,"1,252 / sqft","1,252.19 / sqft"
1213,Chhindwara,-,-
1214,Adilabad,-,-
1215,Amroha,"1,750 / sqft","1,750 / sqft"
1216,Unnao,"278 - 2,444 / sqft","2,126.98 / sqft"
1217,Bahraich,599 / sqft,599 / sqft
1218,Bhatinda,-,-
1219,Bharatpur,"1,444 - 2,500 / sqft","1,972.22 / sqft"
1220,Bhiwani,"4,490 / sqft","4,489.8 / sqft"
1221,Burhanpur,-,-
1222,Saran,-,-
1223,Davanagere,"648 - 2,778 / sqft","2,310.61 / sqft"
1224,Dewas,"820 - 7,310 / sqft","7,310.34 / sqft"
1225,Fatehpur,-,-
1226,Guna,"1,500 / sqft","1,500 / sqft"
1227,Jaunpur,"265 - 8,128 / sqft","3,175.35 / sqft"
1228,Karimnagar,-,-
1229,Kasaragod,-,-
1230,Khammam,669 - 822 / sqft,822.22 / sqft
1231,Khandwa,-,-
1232,Malappuram,"100 - 1,837 / sqft","1,836.6 / sqft"
1233,Morbi,-,-
1234,Katni,-,-
1235,Purnia,188 / sqft,187.5 / sqft
1236,Raichur,-,-
1237,Rewa,"1,111 - 1,500 / sqft","1,445.45 / sqft"
1238,Sagar,-,-
1239,Satna,191 - 533 / sqft,466.67 / sqft
1240,Shivpuri,-,-
1241,Suryapet,"1,831 / sqft","1,830.81 / sqft"
1242,Thoothukudi,100 / sqft,100 / sqft
